"234","8","Sector 22"
"235","8","Sector 7"
"236","8","Sector 93"
"237","8","Sector 1"
"238","8","Sector 17"
"239","8","Sector 37"
"240","8","Sector 49"
"241","8","Sector 53"
"242","8","Sector 83"
"243","9","Sector 12"
"244","9","Sector 15"
"245","9","Sector 21"
"247","9","NIT"
"248","9","Sector 16"
"249","9","Sector 10"
"250","9","Sector 31"
"251","9","Charmswood Village"
"253","9","Badarpur border"
"254","9","Sector 14"
"255","9","Badkal Lake"
"256","9","Ballabhgarh"
"257","9","Sector 19"
"258","9","Sector 29"
"259","9","Sector 34"
"260","9","Sector 11"
"261","9","Sector 28"
"262","9","Sector 46"
"263","9","Sector 7"
"264","9","Sector 3"
"265","9","Sector 20"
"266","9","Sector 30"
"267","9","Sector 9"
"269","6","Vaishali"
"271","6","Raj Nagar"
"272","6","Sahibabad"
"273","6","Mohan Nagar"
"274","6","Chander Nagar"
"275","6","Ramprastha"
"276","6","Surya Nagar"
"277","6","Ambedkar Road"
"278","6","Murad Nagar"
"279","1","Hauz Khas Village"
"280","1","Adchini"
"281","1","Said Ul Ajaib"
"282","4","Hari Nagar"
"283","9","Suraj Kund"
"284","7","DLF Phase 4"
"286","5","Malcha Marg"
"287","10","Breach Candy"
"288","10","Byculla"
"289","10","Charni Road"
"290","10","Chowpatty"
"291","10","Churchgate"
"292","10","Colaba"
"293","10","Cuffe Parade"
"294","10","Dadar"
"295","10","Fort"
"296","10","Girgaum"
"297","10","Grant Road"
"298","10","Kalbadevi"
"299","10","Kemps Corner"
"300","10","Lower Parel"
"301","10","Mahalaxmi"
"302","10","Mahim"
"303","10","Malabar Hill"
"304","10","Marine Lines"
"305","10","Mumbai CST Area"
"306","10","Mumbai Central"
"307","10","Nariman Point"
"308","10","Parel"
"309","10","Peddar Road"
"310","10","Prabhadevi"
"311","10","Tardeo"
"312","10","Worli"
"313","11","7 Bungalows"
"314","11","Adarsh Nagar"
"315","11","Andheri Lokhandwala"
"316","11","Andheri West"
"317","11","Andheri East"
"318","11","Bandra East"
"319","11","Bandra West"
"320","11","Bhayandar"
"321","11","Borivali East"
"322","11","Borivali West"
"323","11","Dahisar"
"324","11","Gorai"
"325","11","Goregaon East"
"326","11","Goregaon West"
